CVE_MUN,GM,IM,IMN,Component 1,Component 2
7011,Alto,51.5097790448289,0.806571452368638,-0.00198196623767856,0.003813574202599597
7012,Medio,53.2988113851827,0.834585208976637,0.001232319690244046,0.0035116228216213975
7013,Alto,52.0224667435321,0.814599428209782,0.00010079000178228184,0.0040457213104955845
7014,Alto,50.0944470305582,0.784409322778825,-0.004078332870230188,0.0007326092337703192
7015,Medio,54.5750731851716,0.854569692558361,0.001668031729425427,0.003985358687984144
7016,Alto,52.1298806862818,0.816281381062519,-0.0003169269215979476,0.004079478572965061
7017,Medio,53.7799251744326,0.842118781337958,-7.81959155506445e-05,0.003220315230049903
7018,Alto,52.2651458294411,0.818399444952443,-0.0015848859590026207,0.004084786633151685
7019,Bajo,54.9683255947039,0.860727477992228,0.0019382093142698141,0.004362995385155596
7020,Alto,50.345273777775,0.788336920558257,-0.00039369776045981196,0.0036865001977701753
7021,Medio,53.1786471264422,0.832703603920424,0.00047044421452826856,0.0038904513885059814
7022,Muy alto,37.8069459586062,0.592004156820721,0.12179547301487073,-0.1007028090431739
7023,Muy alto,46.3278465780139,0.725429601765908,-0.009209769037873513,-0.012108959100307445
7024,Muy alto,46.4378836071254,0.727152628500454,0.00332724850398726,-0.01092971269000111
7025,Alto,51.5044924730301,0.806488672011725,0.016081983573097494,0.0075686364724311325
7026,Muy alto,45.4293080626882,0.711359739134878,0.0053267216713007775,-0.014144116924989798
7027,Bajo,55.0370926693881,0.86180427467689,0.0007421543417321225,0.004252971081253629
7028,Alto,51.6651883576316,0.809004945920024,-0.0007628175200701604,0.0024943004278777338
7029,Medio,53.411133839476,0.836344022288845,0.0006372407334671912,0.004681654330559436
7030,Alto,50.6852195036764,0.793659997514736,-0.00036621388948734034,0.004156561791054214
7031,Muy alto,45.2557776016108,0.708642493621175,0.002368798171356303,0.0012215084271121636
7032,Alto,52.5820017564812,0.823360967793416,0.00034490733601858626,0.00349443284178588
7033,Alto,49.9740571910312,0.782524185441443,-0.0032429047782537197,0.0003421735529008767
7034,Medio,53.310646120513,0.834770524461207,0.0008864526710690024,0.0038322835170618817
7035,Alto,52.3329033180957,0.819460432924949,0.00012762024486717575,0.005817897883652618
7036,Alto,52.0599373900267,0.815186166385033,-0.0002497781874964603,0.002467614092745778
7037,Alto,52.5506286011626,0.822869707843947,0.0008013844553727903,0.0028963366708422865
7038,Muy alto,48.5315608456366,0.759936700231522,-0.002903036072751326,-0.0005293118119187043
7039,Alto,48.9210111099177,0.766034949362297,-0.0020146133932800415,0.0005107505444873891
7040,Medio,54.488482551691,0.853213803748449,0.0007282518570524489,0.0034674138235255103
7041,Alto,52.2893584036738,0.818778580167671,-0.0007562007636036294,0.004379949495869527
7042,Medio,52.9477110108393,0.829087465749765,-0.0032164814688646686,0.0020236439815155246
7043,Medio,53.4659644235862,0.837202592926888,0.0005206056648636892,0.003736163327596614
7044,Alto,51.6527299008629,0.808809863825778,-0.0007183188692662008,0.0044224651036683165
7045,Alto,51.0570492659982,0.79948233410773,-0.0007521394104575121,0.0029463301236487514
7046,Medio,53.4321289661094,0.83667277675247,0.0012219673600064472,0.003996481514151879
7047,Alto,52.5191148773229,0.822376246787071,-0.0001569860100354297,0.003736073433137463
7048,Medio,53.716152579478,0.841120191254916,0.001542850421821207,0.0040236314935031955
7049,Alto,50.5089646729303,0.790900092163596,-0.0022762058095837723,-0.0007666034166811179
7050,Medio,52.6928205936953,0.825096236554786,0.003534825259333851,0.003441615978070379
7051,Medio,53.0837629810148,0.831217850255717,0.0004944989758578949,0.0027000882214142504
7052,Alto,49.1299085992887,0.769305993317883,-0.0024797789084821716,0.0002323270546529736
7053,Alto,52.5462404399952,0.822800995347181,0.0007133275370534117,0.005880342448188801
7054,Alto,52.3810255780799,0.820213960543325,0.00033174551814191863,0.003706710764875391
7055,Medio,53.7172061335794,0.841136688445886,0.004207717715233232,0.005466088486349408
7056,Muy alto,45.5708330998031,0.713575824252094,-0.007363265313817347,-0.010691998463691763
7057,Medio,53.0043935129513,0.829975034846356,0.0006193394955624025,0.004004020855636436
7058,Alto,51.4857630626166,0.806195395510849,-0.0020876362140991663,-0.00144047858992699
7059,Muy alto,47.0642589778532,0.736960795063471,0.0012488697139915789,0.002509934641797178
7060,Alto,48.7983796549241,0.764114711446422,-0.0010370465098078145,0.005738553563449375
7061,Medio,52.7896289931032,0.826612121358794,0.0005309308823473808,0.003944738494803969
7062,Alto,51.6489356841444,0.808750451672474,-0.0011098774682233136,0.0036304148934822103
7063,Medio,54.564009802543,0.85439645538359,0.0012361016674990604,0.005892146366743117
7064,Muy alto,40.8340559064578,0.63940448569795,0.12891151057678812,-0.1297478895863286
7065,Medio,52.6741669326229,0.824804146183168,0.0004191282730704886,0.004034433789618435
7066,Muy alto,45.4935597483737,0.712365831112003,0.004324090761682453,0.02030562556831027
7067,Alto,49.7245203468974,0.778616785749097,-0.0037731109382042488,-0.0007557721146895474
7068,Medio,53.8688979626885,0.843511971376347,0.0010225291640042714,0.00374157048363635
7069,Alto,52.2159881034543,0.817629703377551,-0.0002009010114054445,0.00040134213837123386
7070,Medio,52.9851964072576,0.829674434888293,-0.0005556016024029735,0.005541612942114619
7071,Alto,52.1712242149923,0.816928763183282,0.0002123025236754546,0.0034016250904068015
7072,Alto,50.3948368506767,0.789113009301705,-0.001466842294129558,0.0051570499903037656
7073,Alto,51.4744684222445,0.806018537161661,0.0005855563170290263,0.0033360609635665686
7074,Bajo,56.2836431212427,0.881323519896874,0.0018743332985710424,0.0037640420706638086
7075,Alto,50.0594556971995,0.783861407196758,0.0018976911445500962,-0.012946162324748125
7076,Alto,48.9361378462015,0.766271813000236,-0.006286488957918104,-0.0058559277340018805
7077,Muy alto,48.0926829231702,0.753064482763297,-0.0026739121027605987,0.0028763205499195386
7078,Bajo,55.8329040362097,0.874265573130339,-3.964674918313906e-05,0.0008243797426454041
7079,Medio,53.246705867343,0.833769309083845,0.0005690971789496634,0.003552732370384168
7080,Alto,50.8504760253906,0.796247684653064,-0.0013561520884568354,0.0026045937053537954
7081,Muy alto,48.6987056909843,0.762553955889921,-0.0010301205535420011,0.005446795128719712
7082,Muy alto,35.9017299159572,0.562171125130602,-0.03476244421593239,-0.14014313906770512
7083,Alto,51.8389002231647,0.811725031975037,0.0012732299136356622,0.00530217048790286
7084,Alto,52.3585588020491,0.819862162098269,-0.0007255347984476532,0.004175619559288377
7085,Alto,52.4575014394617,0.821411466099158,-0.0018978903377643722,0.00325244207815145
7086,Medio,54.1829143338017,0.848429030723386,0.0005564981075691894,0.004360824158809578
7087,Alto,51.2573346789155,0.802618524931697,0.0005807725546382493,0.002415599282826044
7088,Alto,51.7437643596455,0.810235336755335,-0.0020973443858264404,0.003607770614405728
7089,Bajo,55.5116640419866,0.869235401898699,-0.0006060481033800704,5.350338704912912e-05
7090,Alto,51.8493451247474,0.811888584597387,-0.0014129352965379525,0.004858840285241023
7091,Bajo,54.6305559373357,0.85543847524049,0.0009740487103921477,0.004086466617281093
7092,Alto,50.649014322504,0.79309307476525,-0.0011282883619543947,0.003093326879254166
7093,Alto,49.8303546585047,0.780274003776557,-0.002748762007232271,0.0020858764006211816
7094,Alto,50.0047965654837,0.783005521264596,-0.0004980153809329748,0.0068592524469400845
7096,Muy alto,48.3404725600387,0.756944523621499,-0.0031900477348715977,0.004758502014030074
7097,Bajo,55.0724437277739,0.862357823052242,0.0018052682202243451,0.004229234621976261
7098,Alto,49.5923052604024,0.776546481501695,-0.002771159873757431,0.00027899921642038524
7099,Alto,51.782928377283,0.810848590765976,-0.0014461697432694503,0.0032553863002928955
7100,Muy alto,47.4784672250844,0.743446719750927,-0.0015336905902604764,0.012529099603458212
7101,Muy bajo,58.3458969364367,0.913615544551574,0.0012596083271440173,0.0015872669549554818
7102,Alto,52.2950494073419,0.818867693364799,0.004195883944484741,0.0011964367451443914
7103,Alto,52.5582458193254,0.8229889828793,-0.00015145194249040352,0.005954721418036082
7104,Medio,52.9232601681887,0.828704599582718,-0.001801665840142324,0.003255721022585313
7105,Medio,53.8027392757174,0.84247601841311,-0.0008775053467674471,0.005143355883429553
