CVE_MUN,GM,IM,Cluster labels
14118,Muy bajo,57.4565186639166,1
14119,Muy bajo,57.3808090186902,1
14120,Muy bajo,60.7295228613102,1
14121,Muy bajo,58.4852367080425,1
14122,Medio,53.6408216428189,3
14123,Bajo,55.6755413433868,2
14124,Muy bajo,57.1799967156272,1
14125,Muy bajo,57.5154870793624,1
15001,Medio,52.7750350397093,3
15002,Muy bajo,58.3893321583535,1
15003,Medio,52.8398605360553,3
15004,Medio,54.0692949876164,3
15005,Bajo,55.0208093575604,1
15006,Muy bajo,57.9947011427992,1
15007,Medio,53.5385848546041,3
15008,Medio,52.7637158822957,0
15009,Muy bajo,57.8710471579132,1
15010,Muy bajo,58.0617527169983,1
15011,Muy bajo,56.987059155138,1
15012,Muy bajo,57.1814782074509,1
15013,Muy bajo,60.0444486219667,1
15014,Bajo,56.2588100892081,1
15015,Bajo,55.5118857552817,1
15016,Bajo,56.316356242488,1
15017,Muy bajo,56.7473588228833,2
15018,Muy bajo,58.3860933939114,1
15019,Muy bajo,58.7882143366636,1
15020,Muy bajo,60.9474221057646,1
15021,Medio,53.8645161498103,3
15022,Muy bajo,57.7209686239134,1
15023,Muy bajo,58.455142130742,1
15024,Muy bajo,60.4532758786705,1
15025,Muy bajo,57.8421149495718,1
15026,Medio,54.4480212259194,1
15027,Muy bajo,58.6309456024267,1
15028,Muy bajo,57.6703008675651,1
15029,Muy bajo,58.9428380369801,1
15030,Muy bajo,58.4280052369662,1
15031,Muy bajo,57.8019731893664,1
15032,Alto,51.3089834194411,0
15033,Muy bajo,59.5106884993079,1
15034,Bajo,56.2483861797893,1
15035,Muy bajo,59.1562287026604,1
15036,Muy bajo,56.8907355104959,1
15037,Muy bajo,59.1984328386694,1
15038,Bajo,56.2872796236821,2
15039,Muy bajo,58.9256262064893,1
15040,Bajo,56.3260722540851,1
15041,Alto,52.0516377992046,3
15042,Bajo,55.2078652199439,1
15043,Muy bajo,56.7539379499164,1
15044,Muy bajo,59.7375364167683,1
15045,Bajo,55.0822462011482,3
15046,Muy bajo,56.5783783767566,2
15047,Bajo,54.7573328375386,2
15048,Bajo,56.4647966957885,1
15049,Bajo,55.6149598163669,4
15050,Muy bajo,57.0456403746941,1
15051,Muy bajo,59.3077941296522,1
15052,Bajo,54.637655843971,1
15053,Muy bajo,58.6452834522869,1
15054,Muy bajo,60.4466812707242,1
15055,Muy bajo,58.8696477501044,1
15056,Alto,51.6659987825431,3
15057,Muy bajo,59.5112241221154,1
15058,Muy bajo,59.4154480130066,1
15059,Muy bajo,58.3600958496088,1
15060,Muy bajo,58.6036528944795,1
15061,Muy bajo,56.8356593550787,2
15062,Muy bajo,58.6971613524029,1
15063,Bajo,54.6187612306828,2
15064,Bajo,54.8532153000352,3
15065,Muy bajo,56.9895755168096,1
15066,Medio,54.0222446615773,2
15067,Muy bajo,56.7050122684209,1
15068,Bajo,56.085230128654,1
15069,Muy bajo,57.8103765235517,2
15070,Muy bajo,57.4383444491744,1
15071,Bajo,56.0249551539035,2
15072,Muy bajo,58.2675633844705,1
15073,Muy bajo,59.7193742662461,1
15074,Alto,52.2588255953042,3
15075,Muy bajo,57.7114697877946,1
15076,Muy bajo,58.9621005848408,1
15077,Medio,53.8550805696197,2
15078,Bajo,54.9656106906239,2
15079,Bajo,55.7048560989425,1
15080,Alto,51.6389489230125,0
15081,Muy bajo,60.1165617134056,1
15082,Medio,54.033257350005,1
15083,Muy bajo,56.9616908510154,1
15084,Muy bajo,56.8659783014653,1
15085,Bajo,54.6960360215221,1
15086,Medio,52.9101554133334,3
15087,Bajo,55.6308545631773,1
15088,Bajo,56.3096708080365,1
