CVE_MUN,GM,IM,IMN,SOM labels
13049,Alto,52.6225794054406,0.823996357303171,3
13050,Muy bajo,58.4050711710475,0.914542130711288,0
13051,Muy bajo,59.8923618649699,0.937831033077717,0
13052,Muy bajo,56.7557695444204,0.88871636261345,1
13053,Muy alto,48.6917271382493,0.762444681466321,3
13054,Bajo,56.4194329487375,0.883449799613276,2
13055,Bajo,55.4493166716119,0.868259128849057,2
13056,Muy bajo,57.5532000541543,0.901203014591503,1
13057,Bajo,54.7241840438598,0.856904561084033,2
13058,Bajo,54.8078096481028,0.858214021662592,2
13059,Medio,54.5508107864517,0.854189777161008,2
13060,Medio,53.263527658287,0.834032714918712,3
13061,Muy bajo,59.1760171326859,0.926614071525385,0
13062,Alto,48.8791422979532,0.765379342036826,3
13063,Muy bajo,57.3885068059967,0.898624147533149,1
13064,Bajo,55.7767683218919,0.873386565969628,2
13065,Muy bajo,58.1302303404046,0.910238505806415,0
13066,Muy bajo,57.7164410401393,0.903759141245384,1
13067,Muy bajo,57.0545075052865,0.893394183319374,1
13068,Alto,50.1799333412537,0.785747919430837,3
13069,Muy bajo,59.4173310959409,0.930392712347161,0
13070,Muy bajo,57.5885857984551,0.90175710610001,1
13071,Alto,51.2630569211976,0.802708127282045,3
13072,Muy bajo,58.7598955640261,0.920098186887174,0
13073,Medio,52.873803942599,0.827930183919475,2
13074,Muy bajo,58.3417799660763,0.913551078525423,0
13075,Muy bajo,57.993431264,0.908096422656682,1
13076,Muy bajo,58.4276960546106,0.914896404900258,0
13077,Muy bajo,58.0695656770432,0.909288581606735,0
13078,Muy alto,48.693750132664,0.762476358743403,3
13079,Bajo,54.7350140076077,0.857074143243988,2
13080,Alto,48.8626706488855,0.765121418936441,3
13081,Bajo,56.5403864793947,0.885343763569254,0
13082,Muy bajo,57.8572152914156,0.905963470101255,0
13083,Muy bajo,58.5100221301433,0.916185516667801,1
13084,Bajo,55.9023554986788,0.875353086375233,1
14001,Muy bajo,56.8976906563699,0.890938649711349,1
14002,Muy bajo,58.7390304017307,0.919771467484206,0
14003,Muy bajo,59.1647776340978,0.926438076619792,0
14004,Bajo,56.3817464491134,0.882859681478426,2
14005,Muy bajo,58.2852514149864,0.912665920087582,0
14006,Muy bajo,58.3850413147151,0.914228491037184,0
14007,Muy bajo,57.9549402790243,0.907493707400849,1
14008,Muy bajo,57.9494689342465,0.907408033756238,0
14009,Muy bajo,58.793772716188,0.920628655942332,0
14010,Bajo,56.186967637558,0.879809716368108,0
14011,Bajo,54.6486400613693,0.855721647454719,2
14012,Muy bajo,57.5300838859949,0.900841047569488,2
14013,Muy bajo,58.192501513986,0.911213585720319,0
14014,Bajo,56.2831263917451,0.881315428632087,1
14015,Muy bajo,58.6789279598896,0.918830346891077,0
14016,Bajo,56.5231794872051,0.885074326018974,1
14017,Muy bajo,57.3527331443888,0.898063981779487,1
14018,Muy bajo,57.6883100108335,0.903318648477127,1
14019,Muy alto,41.1824696936993,0.644860160709797,3
14020,Bajo,54.9283691215401,0.860101815230926,2
14021,Muy bajo,57.5324544784367,0.900878167747912,1
14022,Muy bajo,57.2619110540223,0.896641834243767,0
14023,Muy bajo,59.9441552048355,0.9386420446979,0
14024,Muy bajo,57.8695963384277,0.906157340066445,1
14025,Muy bajo,58.3835945582496,0.914205836844422,0
14026,Muy bajo,58.0194070999676,0.908503168096701,0
14027,Alto,49.6395203501102,0.777285804096075,3
14028,Bajo,55.9206484653493,0.875639528774505,2
14029,Bajo,55.895252008151,0.875241855599677,2
14030,Muy bajo,59.0080061263008,0.923983252990598,0
