CVE_MUN,GM,IM,IMN,linear Component 1,linear Component 2,rbf Component 1,rbf Component 2,cosine Component 1,cosine Component 2,sigmoid Component 1,sigmoid Component 2
20012,Muy alto,46.4378539508505,0.727152164124462,0.03656418018585357,0.02127664475287931,-0.017349757561593945,0.03289382703610899,0.026031394463353372,0.020898512009012143,0.03486881041486441,0.01626265960538602
20013,Bajo,55.1931427584009,0.864247801891942,-0.003295990814041517,-0.020305552897518724,-0.001247297361892627,-0.023961998973543508,-0.001227359475538585,-0.03389194392948401,-0.0030072813436559454,-0.03178608116212082
20014,Muy bajo,57.5381281435036,0.900967009446675,-0.01900531534330176,0.010141461616890628,0.031574949046280096,0.016612441520123297,-0.02556914671852701,0.023928763923575246,-0.019264478514587978,0.019794835944553245
20015,Muy alto,46.8164476004183,0.733080413778254,0.0383064846263767,-0.007796025822406147,-0.02448109649773955,0.03565227087840397,0.03092991619378866,0.012980420788561153,0.040285108670397744,-0.008171345163267953
20016,Muy alto,42.7035649065283,0.668678394795691,0.05899103093779992,0.013157663944445583,-0.0073559527066252,0.02977381852840799,0.02796578956070535,0.01923071442834035,0.054591468902187724,0.0132982607031973
20017,Alto,49.5829310975747,0.776399695158075,0.024857475146830947,-0.011190853039851806,-0.03443742815200169,0.017845056080736155,0.03145676111275124,0.0067526993080964295,0.027426473917941865,-0.010431234407276837
20018,Alto,52.2675794930567,0.818437552737672,0.0128433496519919,-0.013751291055769043,-0.02561810542212517,-0.014249982366560032,0.02454422101807727,-0.015432673936231907,0.015725124847915353,-0.015869490674041233
20019,Alto,51.3476181462567,0.804032238380456,0.019772125840236708,-0.025135082389902162,-0.03063326109338278,0.010754974801332872,0.02659285251742752,-0.005101732808437955,0.022924674983656367,-0.026710109266042777
20020,Alto,49.4834304538451,0.774841653554853,0.023643935429369697,-0.004455252055699623,-0.02276655242209844,0.0270008647119552,0.023306136128802175,0.012891797527098547,0.023149176654127263,0.0007592943077328209
20021,Medio,54.5627964611284,0.854377456145676,-0.0017429197952450253,-7.547853236448364e-05,0.0035936289759401826,-0.015189308816116623,-0.006205979455960162,0.03107114120868345,-0.000690566875142773,0.017427668048413034
