CVE_MUN,GM,IM,IMN,linear Component 1,linear Component 2,linear Component 3,rbf Component 1,rbf Component 2,rbf Component 3,cosine Component 1,cosine Component 2,cosine Component 3,sigmoid Component 1,sigmoid Component 2,sigmoid Component 3
21008,Bajo,55.3629681806683,0.866907031654278,-0.005563602538095353,-0.014352767188521928,0.007986061078529475,0.00528104797152563,-0.029233227400734467,-0.005967260884180583,-0.007971891279908746,-0.027420757809003028,-0.0018588453439575367,-0.005474998311572204,-0.01405833938947997,-0.006572959018131611
21009,Alto,52.086717019023,0.815605498105222,0.010086648537825633,-0.008045397498115893,0.014773449048239363,-0.020157168348277656,-0.01746105286629756,0.0023814565779353503,0.02003841607220722,-0.015462119482533145,0.014040305957943708,0.012066099522400626,-0.008067667035705257,0.015126881588575176
21010,Alto,49.5226875208232,0.775456364588669,0.023070545268811155,0.009457800909895911,-0.04340173592834577,-0.023194529791726884,0.02873590654216363,0.008786848323020619,0.023826627666152525,0.03345173938002021,0.004185936700485443,0.022091143473107082,0.03838748350133848,-0.022429499896063108
21011,Medio,53.1550237085235,0.832333694073131,0.008620497039114201,-0.022164798168117908,0.0037491647770531247,-0.022109573186191375,-0.021624627978680193,-0.005138125395633205,0.02015058652607196,-0.025042720314979082,-0.021819004373272898,0.011493407599108798,-0.02365149735460782,-0.004510099589462985
21012,Medio,54.4014537381603,0.851851053648778,0.0018303392766251952,-0.023026777480391142,0.0019021955282452646,-0.011879499266920229,-0.030057538930570463,-0.0006011179262416071,0.010247825786911318,-0.030029329495757054,-0.030085012855985693,0.0031618698604068086,-0.02283828781034359,-0.019663909778059818
21013,Bajo,54.6388177261954,0.85556784335589,0.0023386696776127786,-0.009173627714612746,-0.02588002311846454,-0.0067734033917337755,0.0062113431782463225,0.03545331430513238,0.005567371356954563,0.025985500654026637,-0.04892096170346351,0.0034380499415963437,0.016395671203019963,-0.0607972939270112
21014,Alto,49.8822422828798,0.781086491760941,0.021872579097410895,-0.015522108091867392,-0.016484242642124922,-0.029915523259427763,0.01659270594858569,-0.006108775323714739,0.027000400831483307,0.0008008192368175045,-0.009470774932561748,0.023778670351269942,-0.01685120970089869,-0.006725818277377036
21015,Muy bajo,56.5768836324401,0.885915258191926,-0.015536429311615358,0.013148646389510386,-0.0174318889361285,0.02420780751000582,0.011834563093537047,0.03410545014995619,-0.021542766525748682,0.03056018707445429,0.0029362121925372133,-0.01504362432565942,0.03122270388649748,-0.008898145193969137
21016,Medio,52.8768102408361,0.827977258365926,0.007434661379068455,-0.012622461072534317,0.005460298076783564,-0.019963227156114798,-0.026507290909723785,0.003141541272528481,0.02377097824945273,-0.026376776589167383,-0.0048504305351174766,0.009392524584967046,-0.01029383510660321,0.007094498814256143
21017,Medio,53.9876210568804,0.845371009801432,0.0033115302426644034,-0.008451058490891157,-0.01559412945858714,-0.011187392344665465,-0.010780741214891457,0.04046481514616699,0.011387216190291014,0.020786561940010856,-0.04775976788950056,0.0043338953956075866,0.011153761479593603,-0.03302327480205135
