CVE_MUN,GM,IM,IMN,Perplexity 100 Component 1,Perplexity 100 Component 2,Perplexity 200 Component 1,Perplexity 200 Component 2,Perplexity 300 Component 1,Perplexity 300 Component 2,Perplexity 400 Component 1,Perplexity 400 Component 2
7050,Medio,52.6928205936953,0.825096236554786,7.1442776,-6.704471,5.701665,-5.003049,3.2601147,-2.415391,2.65063,-1.6175144
7051,Medio,53.0837629810148,0.831217850255717,3.3884933,7.881131,-0.0139816115,-6.1810036,2.4752364,3.841555,1.6974763,2.5630405
7052,Alto,49.1299085992887,0.769305993317883,21.030699,1.8569739,11.145343,-6.7241054,10.138074,0.25358048,8.283849,-0.17305765
7053,Alto,52.5462404399952,0.822800995347181,12.097987,-9.826163,8.212307,1.0874258,5.571289,-3.352958,4.5969486,-2.3853893
7054,Alto,52.3810255780799,0.820213960543325,4.137703,8.837253,0.78651834,-6.1683826,3.2954836,3.3392122,4.602375,0.36000803
7055,Medio,53.7172061335794,0.841136688445886,3.6009982,-9.216036,3.044441,3.7752252,1.1479709,-3.1808527,0.83817476,-2.0176144
7056,Muy alto,45.5708330998031,0.713575824252094,24.802782,1.3834674,13.446291,-7.3106384,11.994543,-0.032198902,9.790839,-0.76578116
7057,Medio,53.0043935129513,0.829975034846356,2.5930927,11.02844,-1.6965905,-6.743437,1.7434496,4.4026656,4.89966,-0.79728395
7058,Alto,51.4857630626166,0.806195395510849,21.39716,-6.2160373,12.7201605,-2.7305992,9.684733,-2.8265529,7.657928,-2.4615095
7059,Muy alto,47.0642589778532,0.736960795063471,26.424845,0.1982046,15.306403,-6.8860846,12.707201,-1.1615537,10.3288765,-1.4636166
7060,Alto,48.7983796549241,0.764114711446422,24.603062,-3.3936071,15.270738,-4.321731,12.074144,-2.9884048,9.632151,-2.7762978
7061,Medio,52.7896289931032,0.826612121358794,2.6837907,10.58979,-1.5646123,-6.4336457,1.6645048,4.3262043,1.3053716,2.8090615
7062,Alto,51.6489356841444,0.808750451672474,12.836974,-5.891076,8.264117,-0.91453254,6.210368,-2.3019226,5.019688,-1.7957935
7063,Medio,54.564009802543,0.85439645538359,0.28403673,-8.618125,1.5885073,3.8564386,0.57844275,-2.6412096,1.220373,-1.6304406
7064,Muy alto,40.8340559064578,0.63940448569795,23.286133,7.6669106,11.342786,-10.6117525,11.618142,2.8655326,9.616493,2.0358772
7065,Medio,52.6741669326229,0.824804146183168,2.0882428,9.873259,-1.4782679,-5.7190742,1.502189,3.7072563,1.347712,2.6580968
7066,Muy alto,45.4935597483737,0.712365831112003,28.658422,-6.573981,16.858768,-4.046391,12.850611,-3.5220623,10.218213,-3.1708252
7067,Alto,49.7245203468974,0.778616785749097,25.286758,-5.056702,14.813952,-3.824705,11.405393,-3.0095565,9.086855,-2.8081322
7068,Medio,53.8688979626885,0.843511971376347,-1.4245687,9.951084,-3.642959,-4.859796,-0.23126689,4.0213385,-0.3123644,2.7940273
7069,Alto,52.2159881034543,0.817629703377551,10.581251,8.0555105,4.108462,-7.9970694,6.0625587,3.6725712,5.3446574,2.6852915
7070,Medio,52.9851964072576,0.829674434888293,13.489857,-7.17689,8.371233,-0.24513553,5.729533,-2.87278,4.4859114,-2.202654
