CVE_MUN,GM,IM,IMN,Perplexity 200 Component 1,Perplexity 200 Component 2,Perplexity 200 Component 3,Perplexity 300 Component 1,Perplexity 300 Component 2,Perplexity 300 Component 3,Perplexity 400 Component 1,Perplexity 400 Component 2,Perplexity 400 Component 3
6010,Muy bajo,60.5120922228991,0.947535147988342,-9.274378,2.4098146,0.28044698,-7.760816,1.5121019,0.82256603,-7.106811,1.1490068,-0.18146181
7001,Medio,53.2907904738896,0.834459612668694,-0.2749901,-2.7514837,1.9810015,0.51683044,-1.8656471,1.2853907,0.46955866,-0.85921276,1.7176381
7002,Medio,53.3009496928406,0.834618691898622,-0.6685889,-3.6242864,2.4014232,0.27109775,-2.310815,2.120488,0.3430396,-1.0731003,2.6203833
7003,Alto,52.1499492969481,0.816595627575556,1.9332769,-0.87581885,2.2835014,2.1928937,-2.5732374,-0.47394317,3.066202,-1.1610472,-1.5711032
7004,Alto,49.7840661417914,0.779549190025736,5.345963,-1.5692197,1.6403803,4.3330245,-2.512119,0.53430724,4.822864,-0.8927512,-0.32305908
7005,Alto,48.7593250790908,0.763503171142121,6.403246,-3.5277545,1.3255072,6.207162,-1.8969061,0.4999381,4.7049246,-1.844721,1.4042906
7006,Alto,52.2296012272431,0.817842865950352,5.0129204,-0.56877077,-1.9181057,3.5111015,0.1674903,0.71138513,3.0380096,0.44884583,0.31024474
7007,Muy alto,45.981946197677,0.720013283208214,7.0082393,-2.2670145,3.0683653,5.575755,-3.8255117,1.4677198,5.8164315,-2.3287907,0.115495086
7008,Alto,51.5472580763044,0.807158321841021,5.258501,-2.5970068,-0.11696965,3.5109384,-1.4935656,1.7932106,3.2125227,-0.80099237,1.8369329
7009,Medio,54.5793351882981,0.854636429595784,-0.67927706,-0.45020956,2.9520073,-1.4826926,-2.0330439,0.19910157,-1.4887326,-1.3501352,1.2738978
7010,Alto,49.7756697893572,0.779417714832035,4.021573,-1.0453259,4.242614,3.8470018,-4.52928,-1.1310862,4.8245907,-2.1347992,-2.35135
7011,Alto,51.5097790448289,0.806571452368638,3.6169252,-0.28834802,1.9306669,3.5529332,-2.265133,-1.1708498,3.57556,-0.8964077,-1.5263611
7012,Medio,53.2988113851827,0.834585208976637,0.12208229,-1.6874702,3.4188406,-0.11374848,-3.1026192,0.56153697,-0.47826707,-1.8670176,2.005301
7013,Alto,52.0224667435321,0.814599428209782,1.1909525,-3.0006342,2.2236238,2.0092592,-2.2025046,1.4805924,2.049603,-1.0925701,1.9851874
7014,Alto,50.0944470305582,0.784409322778825,6.883797,-2.7652376,-0.25451246,5.453503,-1.3777539,1.9067869,4.7234077,-0.632693,1.861736
7015,Medio,54.5750731851716,0.854569692558361,-1.2781363,-2.2087831,1.1211975,-0.5871084,-1.6069086,0.79949,-0.4542873,-0.7236738,1.2308276
7016,Alto,52.1298806862818,0.816281381062519,3.3982255,-1.2803099,-1.2020199,2.8160882,-0.48387104,-0.5233502,2.129694,-0.58389384,0.08539264
7017,Medio,53.7799251744326,0.842118781337958,-0.9005993,-1.8821223,1.9925462,-0.39913076,-1.8758018,0.85423404,-0.44389766,-0.99063796,1.5166004
7018,Alto,52.2651458294411,0.818399444952443,4.7577047,-1.2892011,-1.412783,3.6699536,-0.39435115,0.49314597,2.847314,-0.009846689,0.94268864
7019,Bajo,54.9683255947039,0.860727477992228,-1.7163792,-0.24138409,3.0241482,-2.4711382,-2.1771264,0.07913061,-2.2833958,-1.1917976,1.8403094
7020,Alto,50.345273777775,0.788336920558257,5.179206,-2.4063456,-0.30855152,4.0695853,-1.6156397,1.1099992,3.5348258,-1.0226232,1.1267477
7021,Medio,53.1786471264422,0.832703603920424,0.01750951,-2.5659032,1.3417158,0.77787346,-1.7903377,0.9042759,0.9557466,-0.8466236,1.4032489
7022,Muy alto,37.8069459586062,0.592004156820721,6.0626326,-2.9132426,4.2750506,6.1185226,-4.5133767,-0.016276512,5.7582707,-3.1491802,-0.37987697
7023,Muy alto,46.3278465780139,0.725429601765908,7.88237,-2.041071,1.7806529,6.1063514,-2.5450065,2.5425766,6.2424526,-0.9928664,0.84875274
7024,Muy alto,46.4378836071254,0.727152628500454,6.8161,-2.7717583,3.069296,5.7436886,-3.7927818,1.2265171,5.8970013,-2.4159222,0.23632003
7025,Alto,51.5044924730301,0.806488672011725,5.1062956,0.7666136,1.0787218,5.092407,-0.34087303,-1.2497183,3.4223864,-0.6078162,-0.101938345
7026,Muy alto,45.4293080626882,0.711359739134878,7.597068,-2.7717571,1.9237833,6.5348115,-2.6912968,1.6875831,5.9775643,-1.702752,1.1058444
7027,Bajo,55.0370926693881,0.86180427467689,-2.5805426,-1.6720058,1.8030275,-1.9385284,-1.7714642,0.678116,-1.880479,-0.98269606,1.4127772
7028,Alto,51.6651883576316,0.809004945920024,6.0675297,-2.432151,-2.0740666,3.9411812,-0.96849495,2.3614452,3.6071138,-0.06750136,2.2896261
7029,Medio,53.411133839476,0.836344022288845,2.281459,-1.3122712,-0.58242816,1.734226,-0.89729464,-0.7839601,1.1919085,-0.82839555,0.24796751
7030,Alto,50.6852195036764,0.793659997514736,5.519778,-1.977197,0.07447609,4.4037156,-1.3835045,0.97883755,3.7914886,-0.733697,1.0264889
7031,Muy alto,45.2557776016108,0.708642493621175,6.2858357,-4.500647,0.54584706,6.644665,-2.97394,1.3381451,5.2169366,-2.4233913,1.2910728
7032,Alto,52.5820017564812,0.823360967793416,0.4581573,-2.3308144,1.8625127,1.0824625,-1.8983502,0.8310605,1.0139532,-0.93872577,1.3644414
7033,Alto,49.9740571910312,0.782524185441443,6.6617455,-2.5949867,-0.015581003,5.529893,-1.2596728,1.4130448,4.5007396,-0.6573848,1.7745637
7034,Medio,53.310646120513,0.834770524461207,0.82191044,-1.0553216,1.534592,1.3278161,-0.976516,0.6308599,0.9943718,-0.23572946,0.8896224
7035,Alto,52.3329033180957,0.819460432924949,2.9111283,-0.79018116,-0.24790275,2.4723442,-0.87307525,-0.8278751,1.9547398,-0.7105055,-0.17976607
7036,Alto,52.0599373900267,0.815186166385033,2.844703,-0.9457432,2.4221807,2.83292,-2.7372963,-1.0497738,3.2582917,-1.487217,-1.8100797
