CVE_MUN,GM,IM,Perplexity 100 Component 1,Perplexity 100 Component 2,Perplexity 200 Component 1,Perplexity 200 Component 2,Perplexity 300 Component 1,Perplexity 300 Component 2,Perplexity 400 Component 1,Perplexity 400 Component 2
08045,Muy bajo,-1.24,-21.369884,6.461526,-13.229572,1.5774816,-9.683585,2.8489258,-7.7103567,2.3992312
08036,Muy bajo,-1.37,-24.866596,7.8732443,-15.573177,0.80035645,-10.905886,3.6869779,-8.511271,3.0720816
08031,Bajo,-0.513,-11.140807,2.6447263,-6.9749937,2.1475797,-5.2788205,0.7887793,-4.2199864,0.5502617
08062,Muy bajo,-1.227,-21.482134,0.80480933,-9.290565,6.3762465,-8.469501,-0.91420436,-7.0301743,-0.48973384
08040,Bajo,-0.833,-16.334974,4.871689,-9.807763,1.85281,-7.18971,1.7999703,-5.7398567,1.4495963
08052,Muy bajo,-1.513,-27.172228,5.6157813,-16.91819,2.694756,-12.423201,2.8491292,-9.735343,2.4378624
08009,Alto,0.838,17.835527,-0.65340805,16.014364,2.1180522,10.859271,2.8135076,8.977637,2.8110147
08005,Bajo,-0.957,-17.20789,4.0271235,-10.529099,2.5593019,-7.923138,1.5751013,-6.347107,1.3401066
08002,Muy bajo,-1.495,-27.807545,7.097707,-17.04374,1.6680793,-11.959622,3.3529801,-9.33922,2.7886405
08010,Bajo,-0.717,-15.006063,4.5347433,-8.851574,1.8296523,-6.4880114,1.7877758,-5.1529775,1.5165514
08048,Bajo,-0.938,-9.680828,-15.667165,-2.1739516,10.316654,-4.94164,-5.122541,-4.4107146,-3.924553
08065,Muy alto,3.264,17.231878,1.1949706,16.779375,3.4200842,10.568861,3.941128,8.494173,3.8401763
08055,Bajo,-0.962,-16.35667,1.2546418,-8.477027,4.3199,-7.0125613,-0.17195946,-5.6926365,-0.124822356
08007,Muy alto,2.369,17.250786,0.51133806,16.413471,3.061093,10.551718,3.5898373,8.530943,3.539386
08004,Muy bajo,-1.467,-26.908953,3.6851723,-15.949206,2.453321,-11.324899,3.3893788,-9.001942,2.696322
08001,Muy bajo,-1.164,-21.192394,6.5644608,-13.098689,1.5702351,-9.539994,2.8677754,-7.585411,2.4128082
