CVE_MUN,GM,IM,linear Component 1,linear Component 2,linear Component 3,rbf Component 1,rbf Component 2,rbf Component 3,cosine Component 1,cosine Component 2,cosine Component 3,sigmoid Component 1,sigmoid Component 2,sigmoid Component 3
05003,Muy bajo,-1.6,-0.032282270725569814,0.01443321777620669,-0.0069297044550454615,0.034563185033878834,-0.029753195093367667,0.0012056029466770664,-0.02799842453730998,0.012088624049102674,0.0022272138578641547,-0.034263027899953516,0.00913358744679687,-0.004279062764009051
05036,Medio,-0.38,-0.007665249477757578,-0.008290370324901887,0.0107406127116205,0.003339993766814387,0.035632464210673155,0.01223542521478289,-0.010962444891065454,-0.034341775969147684,-0.0033120781545693746,-0.007200963763820947,-0.013891140751657226,0.0035123586654602404
05007,Bajo,-0.992,-0.020025075997510248,0.014022666362933398,-0.007696637444411446,0.032536383518319376,-0.008767648855570808,-0.022097120199459797,-0.02637076323404943,0.02058464962780235,-0.0006726656485852993,-0.020455083742482044,0.019870758225274864,-0.003334833510184647
05038,Muy bajo,-1.261,-0.025442555569763308,0.007383279822628117,-0.005147156008920097,0.035613444159230595,-0.01430228967004649,-0.010188416495566966,-0.02762801265535002,0.011452573296685274,-0.004752784825259785,-0.02704898315056686,0.003122929476951914,-0.010764264982948836
05011,Bajo,-0.624,-0.012585453103297862,-0.0008956954867801119,0.015763682480025746,0.013221844367868073,0.027268829695567008,0.03175982279704232,-0.017785969320441665,-0.029675936484996314,0.012322089598491175,-0.012763885078359646,-0.016774186504345208,0.010690270302981817
05023,Bajo,-0.757,-0.015265284000655957,0.0035898473914265316,0.004352114658119715,0.016868099070913137,0.019975368631364655,0.0380470634049748,-0.019557999028148497,-0.02360225845538451,0.02448186833646297,-0.01589509457712261,-0.009383430682136632,0.027567703564026796
05014,Medio,-0.448,-0.009029930597524593,-0.0018024042739866544,0.005042796904559151,0.006031278893815331,0.031297169628073024,0.022586615513968157,-0.01244413815311428,-0.032522153389695885,0.01044388793764817,-0.008824961572855209,-0.01238091389459615,0.023452493230233774
05019,Muy bajo,-1.427,-0.028797791137449232,0.012020755051204717,-0.004544564045277873,0.03623629229982428,-0.022725044808809707,-0.004368171605551326,-0.028019064070000026,0.0122029841715962,-0.0005835453961090205,-0.03069091686439903,0.008781118503940607,-0.008858765951901073
05034,Bajo,-1.014,-0.020455508611601458,0.005856683212249955,0.004573240151810882,0.01715518569857922,0.0030254219219001026,0.0363896839110919,-0.019679090031046922,-0.01424173887423611,0.018779442845871925,-0.02193588671355898,-0.005810354405302383,0.018951628435861442
05021,Muy bajo,-1.106,-0.022318294732823332,-0.0008929990074686214,0.006309518625258873,0.020477463446624735,0.00868471641773137,0.04326445713067521,-0.021874328266141736,-0.022050000690465102,0.012904584479433828,-0.024428543660417936,-0.020754013856516162,0.016265298340546373
